site_number	state	sequence_number	attendance_schedule
00841.*A	AZ	6	ALL/ALL/
00841.13*H	AZ	1	UNATNDD
00841.2*A	AZ	1	ALL/MON-FRI/0600-1600
00841.2*A	AZ	2	CLSD HOL
00860.*A	AR	1	ALL/MON-FRI/0800-1700
00860.5*A	AR	1	UNATNDD
00861.1*A	AR	1	ALL/M - F/0800-1700
00861.11*A	AR	1	UNATNDD
00867.*A	AR	1	ALL/MON-FRI/0800-1700
00871.1*H	AR	1	UNATNDD
00871.11*A	AR	1	UNATNDD
00875.*A	AR	1	UNATNDD
00880.*A	AR	1	ALL/ALL/0730-1730
00880.01*H	AR	1	ALL/ALL/ALL
00882.*A	AR	1	UNATNDD
00884.*A	AR	1	UNATNDD
00886.16*A	AR	1	UNATTND
00886.39*A	AR	1	ALL/MON-FRI/0800-1630
00886.41*H	AR	1	UNATNDD
00886.8*A	AR	1	OCT-MAR/ALL/0800-1700
00886.8*A	AR	2	APR-SEP/ALL/0700-1900
00886.82*H	AR	1	UNATNDD
00897.1*A	AR	1	ALL/MON-FRI/0800-1600
00897.11*H	AR	1	ALL/ALL/ALL
00897.12*H	AR	1	UNATNDD
00897.13*A	AR	1	UNATTND
00899.5*A	AR	1	UNATNDD
00901.*A	AR	1	ALL/MON-FRI/0800-1700
00901.1*A	AR	1	ALL/ALL/0730-1730
00901.11*H	AR	1	ALL/ALL/ALL
00904.1*A	AR	1	ALL/MON-THU/0800-1700
00905.*A	AR	1	UNATNDD
00906.*A	AR	1	MAR-SEP/MON-SAT/0800-1700
00906.*A	AR	2	OCT-FEB/MON-FRI/0800-1700
00907.02*A	AR	1	UNATTND
00907.5*A	AR	1	ALL/ALL/IREG
00909.02*A	AR	1	UNATNDD
00909.03*A	AR	1	UNATNDD
00909.04*A	AR	1	UNATNDD
00909.05*A	AR	1	UNATNDD
00909.06*A	AR	1	UNATNDD
00911.2*A	AR	1	UNATNDD
00912.*A	AR	1	ALL/ALL/UNATTENDED
00912.01*H	AR	1	ALL/ALL/ALL
00913.*A	AR	2	UNATNDD
00913.71*A	AR	1	UNATNDD
00913.8*A	AR	1	UNATNDD
00914.01*A	AR	1	UNATNDD
00914.96*A	AR	1	UNATNDD
00915.5*G	AR	1	UNATNDD
00915.9*A	AR	1	UNATNDD
00917.*A	AR	1	ALL/MON-FRI/0800-1700
00918.*A	AR	1	ALL/ALL/DALGT
00918.01*H	AR	1	UNATNDD
00920.*A	AR	1	ALL/MON-FRI/0800-1700
00920.01*H	AR	1	UNATNDD
00920.02*A	AR	1	ALL/MON-FRI/0800-1700
00922.*A	AR	1	UNATNDD
00923.*A	AR	1	UNATNDD
00924.01*H	AR	1	UNATNDD
00924.02*A	AR	1	UNATNDD
00924.03*A	AR	1	UNATNDD
00924.05*A	AR	1	ALL/ALL/0700-1800
00924.06*H	AR	1	UNATTND
00926.2*A	AR	1	ALL/MON-FRI/0700-1900
00926.2*A	AR	2	ALL/SAT/0800-1200
00926.2*A	AR	3	ALL/SUN/UNATTNDD
00931.*A	AR	1	UNATNDD
00932.8*A	AR	1	UNATNDD
00934.*A	AR	1	ALL/ALL/DALGT
00937.*A	AR	2	ALL/MON-FRI/IREG
00937.01*H	AR	1	UNATNDD
00937.7*H	AR	1	12/365/24
00937.75*A	AR	1	UNATNDD
00938.01*H	AR	1	UNATNDD
00939.*A	AR	1	UNATNDD
00942.2*A	AR	1	UNATNDD
00942.21*H	AR	1	UNATNDD
00945.*A	AR	1	UNATTENDED
00948.*A	AR	1	ALL/MON-SAT/0800-1700
00951.1*H	AR	1	UNATNDD
00951.11*A	AR	2	ALL/MON-FRI/0700-1700
00951.11*A	AR	3	ALL/SAT/0700-1200
00951.19*A	AR	1	UNATNDD
00952.*A	AR	1	UNATNDD
00954.1*A	AR	1	ALL/MON-FRI/0800-1700
00956.*A	AR	1	UNATNDD
00963.*A	AR	1	ALL/MON-FRI/0800-1700
00963.01*H	AR	1	UNATNDD
00963.02*H	AR	1	ALL/ALL/ALL
00964.*A	AR	1	ALL/MON-SAT/0700-1800
00964.*A	AR	2	ALL/SUN/1300-1800
00965.5*A	AR	1	UNATNDD
00968.2*A	AR	1	UNATNDD
00972.42*A	AR	1	UNATNDD
00973.*H	AR	1	UNATNDD
00973.01*U	AR	1	UNATNDD
00973.02*A	AR	1	UNATNDD
00973.03*A	AR	1	UNATNDD
00973.04*A	AR	1	UNATNDD
00975.*A	AR	1	ALL/MON-FRI/0600-2200
00975.*A	AR	2	ALL/SAT-SUN/0800-2000
00975.01*A	AR	1	ALL/ALL/ALL
00975.02*A	AR	1	ALL/ALL/ALL
00975.04*H	AR	1	UNATNDD
00975.06*H	AR	1	UNATNDD
00977.08*A	AR	1	UNATNDD
00978.*A	AR	3	ALL/ALL/0900-1200
00978.01*A	AR	1	UNATNDD
00980.*A	AR	1	UNATNDD
00983.1*A	AR	1	UNATNDD
00983.11*H	AR	1	UNATNDD
00985.*A	AR	1	ALL/MON-FRI/0800-1700
00985.01*H	AR	1	UNATNDD
00986.71*A	AR	1	UNATNDD
00987.*A	AR	1	ALL/ALL/ALL
00987.01*H	AR	1	ALL/ALL/ALL
00987.03*H	AR	1	UNATNDD
00988.7*A	AR	1	UNATNDD
00995.*A	AR	1	UNATNDD
00997.5*A	AR	1	UNATNDD
00999.*H	AR	1	UNATNDD
00999.01*A	AR	1	UNATNDD
00999.36*A	AR	1	UNATNDD
00999.37*A	AR	1	UNATNDD
00999.58*A	AR	1	UNATNDD
00999.581*A	AR	1	UNATNDD
00999.582*A	AR	1	UNATNDD
00999.583*A	AR	1	UNATNDD
00999.595*A	AR	1	UNATNDD
00999.596*A	AR	1	ALL/ALL/DAWN-DUSK
00999.8*A	AR	1	UNATNDD
01000.*A	AR	1	UNATNDD
01000.3*A	AR	1	UNATNDD
01001.32*A	AR	1	UNATNDD
01002.*A	AR	1	ALL/ALL/0700-1900
01002.01*H	AR	1	ALL/ALL/ALL
01002.02*A	AR	1	ALL/ALL/ALL
01008.*A	AR	1	ALL/ALL/DALGT
01008.02*A	AR	1	UNATNDD
01008.03*A	AR	1	UNATNDD
01010.01*A	AR	1	UNATNDD
01010.02*H	AR	1	ALL/ALL/ALL
01010.1*A	AR	1	ALL/ALL/0800-1700
01015.*A	AR	1	ALL/MON-FRI/DALGT
01015.*A	AR	2	ALL/SAT/0800-1200
01015.01*H	AR	1	UNATNDD
01015.2*A	AR	1	UNATNDD
01015.6*A	AR	1	UNATNDD
01016.*H	AR	1	UNATNDD
01016.2*A	AR	1	ALL/MON-SAT/0800-1700
01019.*A	AR	1	ALL/MON-FRI/0800-1700
01019.03*H	AR	1	UNATNDD
01021.5*A	AR	1	UNATNDD
01022.21*H	AR	1	UNATNDD
01022.22*H	AR	1	ALL/ALL/ALL
01022.23*A	AR	1	UNATNDD
01023.*A	AR	1	ALL/ALL/0500-2200
01027.*A	AR	1	UNATNDD
01028.2*A	AR	1	UNATNDD
01028.21*A	AR	3	ALL/ALL/ALL
01028.7*H	AR	1	UNATNDD
01035.*A	AR	1	ALL/ALL/0600-2100
01035.1*H	AR	1	ALL/ALL/ALL
01035.11*H	AR	1	ALL/ALL/ALL
01035.13*A	AR	1	UNATNDD
01039.*A	AR	1	UNATNDD
01042.*A	AR	1	ALL/ALL/ALL
01043.1*A	AR	1	ALL/MON-FRI/0700-1800
01043.1*A	AR	2	ALL/SAT/0700-1200
01043.11*H	AR	1	UNATNDD
01056.*A	AR	1	ALL/ALL/ALL
01056.01*H	AR	1	UNATNDD
01056.02*H	AR	1	ALL/ALL/ALL
01056.03*H	AR	1	ALL/ALL/ALL
01056.04*H	AR	1	UNATNDD
01056.07*H	AR	1	UNATNDD
01056.08*H	AR	1	ALL/ALL/ALL
01056.09*A	AR	1	UNATNDD
01056.11*H	AR	1	ALL/ALL/ALL
01056.18*H	AR	1	UNATNDD
01060.02*A	AR	1	ALL/ALL/ALL
01060.03*A	AR	1	UNATNDD
01060.04*A	AR	1	UNATNDD
01064.*A	AR	1	ALL/ALL/ALL
01064.01*A	AR	1	UNATNDD
01064.7*A	AR	1	UNATNDD
01069.1*A	AR	1	ALL/MON-FRI/0830-1630
01069.11*H	AR	1	UNATNDD
01071.1*A	AR	1	ALL/MON-FRI/0730-1630
01071.11*H	AR	1	UNATNDD
01074.*A	AR	1	ALL/ALL/DALGT
01075.13*A	AR	1	UNATTND
01076.1*A	AR	1	UNATNDD
01076.11*A	AR	1	ALL/MON-FRI/DALGT
01076.11*A	AR	2	ALL/SAT/SR-1200
01076.4*A	AR	1	IREG
01076.41*A	AR	1	UNATNDD
01076.61*A	AR	1	UNATNDD
01076.65*A	AR	1	UNATNDD
01076.7*A	AR	1	UNATNDD
01076.87*A	AR	1	ALL/MON-SAT/0900-1700
01076.88*A	AR	1	UNATNDD
01077.1*A	AR	1	UNATNDD
01077.11*H	AR	1	UNATNDD
01080.*A	AR	1	ALL/MON-SAT/DALGT
01080.02*U	AR	1	UNATNDD
01081.*A	AR	1	ALL/ALL/DAWN-DUSK
01094.5*A	AR	1	UNATNDD
01096.*A	AR	1	ALL/MON-FRI/0800-1700
01096.01*H	AR	1	ALL/ALL/ALL
01101.1*A	AR	1	ALL/ALL/0800-1800
01101.11*A	AR	1	UNATNDD
01101.12*H	AR	1	UNATNDD
01101.2*A	AR	1	ALL/ALL/0700-1800
01101.3*A	AR	2	UNATNDD
01104.4*A	AR	1	ALL/MON-SAT/0700-1700
01104.4*A	AR	2	ALL/SUN/0900-1700
01104.41*H	AR	1	UNATNDD
01104.42*H	AR	1	UNATNDD
01104.43*A	AR	1	UNATNDD
01107.2*A	AR	1	ALL/MON-FRI/0800-1700
01107.22*H	AR	1	UNATNDD
01108.1*A	AR	1	ALL/ALL/DALGT
01108.13*A	AR	1	UNATNDD
01108.4*H	AR	1	UNATNDD
01109.1*H	AR	1	UNATNDD
01109.11*A	AR	1	UNATNDD
01109.7*A	AR	1	UNATNDD
01110.*A	AR	1	ALL/MON-SAT/0800-1700
01110.*A	AR	2	ALL/SUN/1300-1700
01110.01*H	AR	1	UNATNDD
01110.02*A	AR	1	UNATNDD
01118.*A	AR	1	ALL/ALL/0800-DUSK
01118.01*A	AR	1	UNATNDD
01120.*A	AR	1	UNATNDD
01126.11*H	AR	1	ALL/ALL/ALL
01126.2*A	AR	1	UNATNDD
01128.*A	AR	1	UNATTNDD
01128.05*A	AR	1	UNATTND
01128.1*A	AR	1	UNATNDD
01129.4*A	AR	1	IREG
01132.*A	AR	1	ALL/MON-FRI/0700-1600
01132.1*A	AR	1	UNATNDD
01132.2*H	AR	1	UNATNDD
01134.1*A	AR	1	UNATNDD
01141.5*A	AR	1	UNATNDD
01141.51*H	AR	1	UNATNDD
01142.*A	AR	1	ALL/ALL/0800-1800
01142.1*H	AR	1	UNATNDD
01144.7*A	AR	1	ALL/ALL/0800-1700
01144.71*H	AR	1	ALL/ALL/ALL
01147.01*A	AR	1	UNATNDD
01152.1*A	AR	1	UNATNDD
01153.8*A	AR	1	UNATNDD
01156.*A	AR	1	ALL/MON-FRI/0400-2100
01156.*A	AR	2	ALL/SAT-SUN/0700-1900
01156.01*H	AR	1	ALL/ALL/ALL
01156.03*A	AR	1	UNATNDD
01156.09*H	AR	1	UNATNDD
01159.*A	AR	1	UNATNDD
01161.1*A	AR	4	NOV-MAR/SAT-SUN/0800-1700
01161.1*A	AR	5	NOV-MAR/M-F/0730-1700
01161.1*A	AR	6	MAR-NOV/M-F/0730-1830
01161.1*A	AR	7	MAR-NOV/SAT-SUN/0800-1800
01161.11*H	AR	1	UNATNDD
01162.*A	AR	1	UNATNDD
01163.*A	AR	1	UNATNDD
01163.01*H	AR	1	UNATNDD
01165.*A	AR	1	ALL/ALL/0700-1800
01165.01*H	AR	1	UNATNDD
01165.02*H	AR	1	UNATNDD
01165.03*H	AR	1	UNATNDD
01165.04*A	AR	1	UNATNDD
01165.05*A	AR	1	UNATNDD
01168.01*A	AR	1	UNATNDD
01168.7*A	AR	1	UNATNDD
01168.71*A	AR	1	UNATNDD
01170.1*A	AR	2	ALL/MON-FRI/0800-1700
01170.11*H	AR	1	UNATNDD
01170.12*A	AR	1	ALL/ALL/1000-1700
01176.*A	AR	1	ALL/ALL/0600-2100
01176.01*H	AR	1	UNATNDD
01176.02*H	AR	1	UNATNDD
01176.7*A	AR	1	UNATNDD
01180.*A	AR	1	UNATNDD
01182.*A	AR	1	UNATNDD
01185.1*H	AR	1	UNATNDD
01186.*A	AR	1	NOV-JAN/ALL/0800-1900
01186.*A	AR	2	FEB-OCT/MON-FRI/0800-1630
01188.*A	AR	1	ALL/ALL/0600-2200
01188.01*A	AR	1	UNATNDD
01188.11*H	AR	1	ALL/ALL/ALL
01188.19*A	AR	1	UNATTND
01188.5*A	AR	1	ALL/MON-SAT/0700-1900
01188.51*A	AR	1	ALL/MON-FRI/0800-1700
01189.5*A	AR	1	IREG
01190.*H	AR	1	UNATNDD
01191.56*H	AR	1	UNATNDD
01195.51*A	AR	1	ALL/ALL/0800-1800
01197.*A	AR	1	ALL/ALL/ALL
01197.01*H	AR	1	UNATNDD
01200.1*A	AR	1	UNATNDD
01200.11*H	AR	1	UNATNDD
01201.*A	AR	1	UNATNDD
01201.1*A	AR	1	MAY-AUG/IREG/IREG
01203.*A	AR	1	UNATNDD
01206.2*A	AR	1	ALL/MON-FRI/0700-1900
01206.2*A	AR	2	ALL/SAT-SUN/0800-1700
01207.*A	AR	1	UNATNDD
01208.*A	AR	1	UNATNDD
01209.*A	AR	1	UNATNDD
01211.01*H	AR	1	UNATNDD
01211.51*H	AR	1	UNATNDD
01213.01*H	CA	1	UNATNDD
01216.*A	CA	1	ALL/FRI - SAT/1100-1700
01216.1*A	CA	1	ALL/ALL/ALL
01216.15*H	CA	1	ALL/ALL/ALL
01216.2*A	CA	1	ALL/ALL/ALL
01217.*A	CA	1	UNATNDD
01218.*A	CA	1	UNATNDD
01219.*A	CA	1	ALL/ALL/0800-1800
01219.01*H	CA	1	UNATNDD
01228.*H	CA	1	UNATNDD
01228.01*H	CA	1	UNATNDD
01232.*A	CA	1	UNATNDD
01234.*A	CA	1	ALL/ALL/0800-1700
01234.12*A	CA	1	UNATNDD
01234.13*A	CA	1	UNATNDD
01241.13*H	CA	1	UNATNDD
01241.17*H	CA	1	UNATNDD
01241.21*H	CA	1	ALL/MON-FRI/0700-2100
01242.1*A	CA	1	UNATNDD
01244.13*H	CA	1	IREG
01244.8*A	CA	1	ALL/SUN-FRI/0800-1700
01247.6*A	CA	1	IREG/ALL/DALGT
01248.1*A	CA	2	ALL/ALL/0800-1700
01248.11*A	CA	1	ALL/ALL/ALL
01248.12*H	CA	1	UNATNDD
01250.1*A	CA	1	ALL/MON-FRI/0700-1900
01255.1*A	CA	1	ALL/ALL /0400-2359
01266.1*A	CA	1	UNATNDD
01272.4*A	CA	1	UNATNDD
01272.51*H	CA	1	UNATNDD
01273.*A	CA	1	ALL/ALL/0800-1800
01273.1*H	CA	1	ALL/ALL/ALL
01276.*A	CA	1	MAR 21-OCT 17/ALL/0800-1900
01276.*A	CA	2	OCT 18-MAR 20/ALL/0800-1700
01276.2*C	CA	1	ALL/ALL/DALGT
01280.*A	CA	1	ALL/ALL/ALL
01286.1*A	CA	1	UNATNDD
01289.1*A	CA	1	ALL/ALL/0700-1700
01289.4*H	CA	1	ALL/ALL/ALL
01289.41*H	CA	1	UNATNDD
01289.42*H	CA	1	ALL/ALL/ALL
01289.5*A	CA	1	ALL/FRI-SUN/0800-DUSK
01291.*A	CA	1	ALL/ALL/ALL
01291.1*A	CA	1	UNATNDD
01293.*H	CA	1	UNATNDD
01297.*A	CA	1	ALL/MON-FRI/0900-1530
01297.1*H	CA	1	UNATNDD
01299.8*A	CA	1	UNATNDD
01299.84*H	CA	1	ALL/ALL/ALL
01299.85*H	CA	1	UNATNDD
01299.86*H	CA	1	UNATNDD
01299.87*A	CA	1	UNATNDD
01303.*A	CA	1	UNATNDD
01307.*A	CA	1	ALL/ALL/0800-1900
01309.6*H	CA	1	ALL/MON-THURS/0700-1730
01318.*A	CA	1	UNATNDD
01323.*A	CA	1	ALL/ALL/0800-1700
01323.5*H	CA	1	UNATNDD
01324.*H	CA	1	UNATNDD
01324.23*A	CA	1	ALL/ALL/8:00-5:00
01324.5*A	CA	1	ALL/ALL/ALL
01327.*A	CA	1	ALL/ALL/0800-1700
01327.02*H	CA	1	UNATNDD
01327.03*A	CA	1	UNATNDD
01335.1*A	CA	1	ALL/ALL/DALGT
01335.11*H	CA	1	ALL/ALL/DALGT
01335.2*H	CA	1	UNATNDD
01336.*A	CA	1	APR-OCT/ALL/0700-1600
01336.*A	CA	2	NOV-MAR/ALL/0800-1700
01340.25*A	CA	1	UNATNDD
01340.281*A	CA	1	UNATNDD
01340.3*A	CA	1	ALL/ALL/0800-1600
01340.35*A	CA	1	UNATNDD
01342.*A	CA	1	ALL/MON-FRI/0800-1600
01342.1*H	CA	1	ALL/ALL/ALL
01344.2*A	CA	1	ALL/ALL/DALGT
01346.*A	CA	1	UNATNDD
01346.1*H	CA	1	UNATNDD
01346.13*H	CA	1	UNATNDD
01348.*A	CA	1	UNATNDD
01349.5*A	CA	1	UNATNDD
01353.*A	CA	1	ALL/ALL/ALL
01353.01*H	CA	1	ALL/ALL/ALL
01354.6*H	CA	1	ALL/ALL/0800-1600
01354.61*H	CA	1	ALL/MON-FRI/0800-1700
01356.1*A	CA	1	UNATNDD
01356.5*A	CA	1	ALL/ALL/0700-1400
01356.7*A	CA	1	UNATNDD
01356.85*H	CA	1	UNATNDD
01356.86*H	CA	1	ALL/ALL/ALL
01358.*A	CA	1	ALL/ALL/0800-1700
01358.1*H	CA	1	UNATNDD
01359.2*A	CA	1	UNATNDD
01360.*A	CA	1	ALL/ALL/0800-1700
01363.*A	CA	1	UNATNDD
01366.*A	CA	1	ALL/ALL/ALL
01369.1*A	CA	1	ALL/ALL/0700-2300
01369.41*A	CA	1	UNATNDD
01369.8*A	CA	1	ALL/MON-FRI/0800-1700
01370.06*A	CA	1	UNATNDD
01374.1*H	CA	1	UNATNDD
01375.*A	CA	1	UNATNDD
01376.1*A	CA	1	ALL/ALL/0700-2200
01377.4*H	CA	1	ALL/ALL/ALL
01378.01*H	CA	1	UNATNDD
01378.02*H	CA	1	UNATNDD
01378.03*H	CA	1	ALL/ALL/ALL
01379.*A	CA	1	IREG
01379.01*H	CA	1	ALL/ALL/ALL
01379.4*A	CA	1	UNATNDD
01379.9*H	CA	1	UNATNDD
01379.99*H	CA	2	ALL/ALL/ALL
01381.11*H	CA	1	UNATNDD
01388.*H	CA	1	ALL/ALL/ALL
01388.01*H	CA	1	UNATNDD
01390.*A	CA	1	UNATNDD
01392.*A	CA	1	ALL/ALL/0800-DUSK
01392.01*H	CA	1	JUNE-OCT/ALL/0900-1800
01395.*A	CA	1	ALL/ALL/0700-1900
01395.01*H	CA	1	ALL/ALL/ALL
01395.3*A	CA	1	UNATNDD
01396.1*A	CA	1	ALL/ALL/0900-1700
01397.7*A	CA	1	ALL/MON-FRI/1530-0630Z++
01397.7*A	CA	2	ALL/SAT-SUN/2300-0100Z++
01398.*A	CA	1	ALL/ALL/ALL
01399.*A	CA	1	UNATNDD
01400.5*A	CA	1	UNATNDD
01400.512*A	CA	1	UNATNDD
01401.1*A	CA	1	ALL/ALL/0800-SS
01401.7*H	CA	1	UNATNDD
01402.02*H	CA	1	ALL/ALL/ALL
01402.03*H	CA	1	UNATNDD
01402.04*H	CA	1	UNATNDD
01402.05*H	CA	1	UNATNDD
01402.1*H	CA	1	ALL/ALL/ALL
01405.*A	CA	1	ALL/MON-FRI/0800-1700
01406.01*H	CA	1	UNATNDD
01411.1*A	CA	1	ALL/ALL/0800-1700
01413.*A	CA	1	ALL/ALL/0900-1700
01413.1*H	CA	1	ALL/MON-SAT/0900-1730
01419.12*A	CA	1	ALL/ALL/0600-1900
01419.13*A	CA	1	IREG
01428.*H	CA	1	UNATNDD
01429.*A	CA	1	ALL/ALL/0800-1700
01430.1*A	CA	1	ALL/ALL/ALL
01431.05*H	CA	1	UNATNDD
01431.1*A	CA	1	ALL/ALL/DAWN-DUSK
01434.*A	CA	1	ALL/ALL/ALL
01437.*A	CA	1	ALL/ALL/0700-1700
01437.01*H	CA	1	UNATNDD
01439.*A	CA	1	ALL/MON-FRI/0800-1700
01440.*A	CA	1	UNATNDD
01443.*A	CA	1	ALL/ALL/0800-1700
01447.3*A	CA	1	ALL/MON-FRI/0700-1700
01448.*H	CA	1	ALL/MON-FRI/1600-0600Z++
01455.13*H	CA	1	IREG
01455.29*H	CA	1	ALL/MON-FRI/0730-1730
01455.31*H	CA	1	UNATNDD
01455.32*H	CA	1	ALL/ALL/ALL
01455.33*H	CA	1	UNATNDD
01457.8*A	CA	1	UNATNDD
01457.81*A	CA	1	ALL/ALL/ALL
01458.*A	CA	1	UNATNDD
01464.*A	CA	1	ALL/ALL/0800-1800
01469.*A	CA	1	UNATNDD
01476.1*A	CA	1	UNATNDD
01476.12*A	CA	1	ALL/ALL/ALL
01479.*A	CA	1	ALL/ALL/0630-1700
01480.9*A	NY	1	UNATT
01486.9*A	CA	1	UNATNDD
01487.12*A	CA	1	ALL/MON-SAT/DALGT
01488.*A	CA	1	ALL/ALL/0600-1800
01488.1*A	CA	1	ALL/MON-FRI/0800-1200
01494.*A	CA	1	UNATNDD
01494.61*A	CA	1	UNATNDD
01494.62*A	CA	1	UNATNDD
01497.*A	CA	1	ALL/ALL/0800-1700
01497.012*H	CA	1	UNATNDD
01498.1*A	CA	1	UNATNDD
01498.16*A	CA	1	UNATNDD
01498.3*A	CA	1	UNATNDD
01507.*A	CA	1	ALL/ALL/ALL
01507.02*A	CA	1	UNATNDD
01507.03*A	CA	1	UNATNDD
01507.15*H	CA	1	ALL/ALL/0800-1700
01507.151*H	CA	1	UNATNDD
01507.3*H	CA	1	UNATNDD
01508.*A	CA	1	UNATNDD
01510.1*A	CA	1	ALL/ALL/ALL
01512.*A	CA	1	UNATNDD
01515.*A	CA	1	ALL/MON-FRI/1000-1700
01516.*A	CA	1	ALL/MON-FRI/0800-1700
01516.*A	CA	2	ALL/SAT/0800-1200
01518.5*A	CA	1	ALL/ALL/DALGT
01520.8*A	CA	1	UNATNDD
01521.*A	CA	1	UNATNDD
01525.61*H	CA	1	UNATNDD
01526.8*A	CA	1	ALL/MON-FRI/1400 0600Z++
01526.9*A	CA	1	ALL/MON-FRI/1400-0600Z++
01530.*A	CA	1	ALL/MON-THU/1500-0700Z++
01530.*A	CA	2	ALL/FRI/1500-0200Z++
01530.*A	CA	3	ALL/SAT/1500-2300Z++
01531.*H	CA	1	UNATNDD
01532.*A	CA	1	UNATNDD
01535.*A	CA	1	IREG
01535.4*A	CA	1	UNATNDD
01535.41*A	CA	1	UNATNDD
01537.8*A	CA	1	ALL/ALL/ALL
01539.*A	CA	1	ALL/ALL/ALL
01539.01*H	CA	1	UNATNDD
01542.31*H	CA	1	UNATNDD
01542.34*H	CA	1	UNATNDD
01542.35*H	CA	1	ALL/MON-FRI/0600-0900
01542.36*H	CA	1	ALL/MON-FRI/0800-1700
01542.37*H	CA	1	ALL/MON-FRI/0900-1700
01548.*A	CA	1	UNATNDD
01552.1*A	CA	1	UNATNDD
01552.12*A	CA	1	UNATNDD
01552.13*H	CA	1	UNATNDD
01552.14*H	CA	1	ALL/ALL/ALL
01559.1*A	CA	1	UNATNDD
01560.*A	CA	1	ALL/ALL/0830-1730
01561.*A	CA	1	UNATNDD
01561.9*A	CA	2	UNATNDD
01565.1*A	CA	1	ALL/ALL/ALL
01568.5*A	CA	1	ALL/MON-FRI/0900-1400
01569.*A	CA	1	UNATNND
01569.02*A	CA	1	UNATNDD
01569.3*A	CA	1	UNATNDD
01569.4*A	CA	1	UNATNDD
01570.3*H	CA	1	UNATNDD
01570.41*A	CA	1	UNATNDD
01570.42*A	CA	1	ALL/ALL/ALL
01570.751*A	CA	1	UNATNDD
01574.2*H	CA	1	ALL/ALL/ALL
01576.1*H	CA	1	ALL/ALL/ALL
01576.11*H	CA	1	UNATNDD
01577.8*A	CA	1	UNATNDD
01578.9*A	CA	1	UNATNDD
01581.15*H	CA	1	UNATNDD
01581.2*A	CA	1	UNATNDD
01582.5*H	CA	1	ALL/ALL/1600-0000Z++ MON-FRI EXC HOL.
01583.*A	CA	1	UNATNDD
01584.7*A	CA	1	ALL/ALL/ALL
01586.*A	CA	1	UNATNDD
01586.5*H	CA	1	ALL/ALL/ALL
01587.11*A	CA	1	UNATNDD
01587.999*A	CA	1	UNATNDD
01588.*A	CA	1	UNATNDD
01588.02*A	CA	1	IREG
01588.22*H	CA	1	ALL/ALL/ALL
01588.24*H	CA	1	ALL/ALL/ALL
01590.*A	CA	1	ALL/ALL/0800-1700
01590.13*H	CA	1	ALL/ALL/ALL
01591.*A	CA	1	ALL/ALL/ALL
01591.5*A	CA	1	UNATNDD
01593.*A	CA	2	ALL/ALL/0700-2100
01597.02*A	CA	1	UNATNDD
01597.1*A	CA	1	ALL/ALL/ALL
01599.1*A	CA	1	UNATNDD
01606.*A	CA	1	UNATNDD
01608.7*A	CA	1	ALL/ALL/0800-1700
01608.71*A	CA	1	UNATNDD
01609.5*H	CA	1	ALL/ALL/ALL
01611.12*H	CA	1	ALL/ALL/ALL
01611.14*H	CA	1	ALL/ALL/ALL
01611.15*H	CA	1	ALL/ALL/ALL
01611.16*H	CA	1	UNATNDD
01611.17*H	CA	1	UNATNDD
01611.18*H	CA	1	ALL/ALL/ALL
01611.19*H	CA	1	ALL/ALL/ALL
01612.5*H	CA	1	UNATNDD
01619.*A	CA	1	UNATNDD
01622.*A	CA	1	ALL/ALL/ALL
01625.11*H	CA	1	ALL/ALL/DALGT
01625.2*A	CA	1	UNATNDD
01625.4*H	CA	1	ALL/MON-FRI/0700-2400
01626.*A	CA	1	ALL/ALL/0800-2000
01630.*A	CA	1	ALL/ALL/ALL
01631.*H	CA	1	UNATNDD
01635.*A	CA	1	UNATNDD
01635.1*A	CA	1	ALL/MON-SAT/0800-1700
01635.11*A	CA	1	ALL/MON-FRI/0700-1600
01635.6*A	CA	1	UNATNDD
01635.61*A	CA	1	UNATNDD
01635.84*H	CA	1	UNATNDD
01635.85*A	CA	1	UNATNDD
01636.*A	CA	1	UNATNDD
01638.*A	CA	1	ALL/ALL/0830-1630
01641.*A	CA	1	ALL/ALL/0800-1700
01641.12*H	CA	1	ALL/ALL/ALL
01641.14*H	CA	1	ALL/ALL/ALL
01641.21*H	CA	1	ALL/ALL/ALL
01645.*A	CA	1	UNATNDD
01647.*A	CA	1	ALL/M-F/0500-2200
01647.*A	CA	2	ALL/SAT/0600-2100
01647.*A	CA	3	ALL/SUN/0600-2200
01650.01*A	CA	1	UNATNDD
01651.*A	CA	1	ALL/ALL/0800-1700
01651.7*A	CA	1	ALL/ALL/0800-1700
01652.02*A	CA	1	ALL/ALL/DALGT
01654.*A	CA	1	ALL/ALL/DALGT
01654.1*A	CA	1	IRREG
01660.*A	CA	1	UNATNDD
01661.*A	CA	1	UNATNDD
01661.01*A	CA	1	UNATNDD
01662.*A	CA	1	UNATNDD
01662.1*H	CA	1	UNATNDD
01665.*A	CA	1	UNATNDD
01668.*A	CA	1	ALL/ALL/0800-1700
01668.1*A	CA	1	ALL/ALL/ALL
01668.11*A	CA	1	UNATNDD
01668.12*H	CA	1	ALL/ALL/ALL
01671.*A	CA	1	UNATNDD
01674.*A	CA	1	UNATNDD
01676.014*H	CA	1	UNATNDD
01676.015*H	CA	1	UNATNDD
01676.13*H	CA	1	UNATNDD
01676.15*H	CA	1	UNATNDD
01676.16*H	CA	1	UNATNDD
01676.2*H	CA	1	ALL/ALL/ALL
01676.4*H	CA	1	ALL/ALL/ALL
